input1,input2,output
0,0,0
0.01,0.01,0
0.04,0.04,0
0.07,0.07,0
0.11,0.11,0
0.15,0.15,0
0.19,0.19,0
0.22,0.22,0
0.23,0.23,0
0.26,0.26,0
0.3,0.3,0
0.32,0.32,0
0.38,0.38,0
0.44,0.44,0
0.46,0.46,0
0.49,0.49,0
0.52,0.52,0
0.55,0.55,0
0.56,0.56,0
0.62,0.62,0
0.64,0.64,0
0.67,0.67,0
0.71,0.71,0
0.73,0.73,0
0.77,0.77,0
0.8,0.8,0
0.82,0.82,0
0.87,0.87,0
0.93,0.93,0
0.95,0.95,0
0.98,0.98,0
1,1,0
0,0.01,0
0.01,0.04,0
0.04,0.07,0
0.07,0.11,0
0.11,0.15,0
0.15,0.19,0
0.19,0.22,0
0.22,0.23,0
0.23,0.26,0
0.26,0.3,0
0.3,0.32,0
0.32,0.38,0
0.38,0.44,0
0.44,0.46,1
0.46,0.49,0
0.49,0.52,0
0.52,0.55,0
0.55,0.56,0
0.56,0.62,0
0.62,0.64,0
0.64,0.67,0
0.67,0.71,0
0.71,0.73,0
0.73,0.77,0
0.77,0.8,0
0.8,0.82,0
0.82,0.87,0
0.87,0.93,0
0.93,0.95,0
0.95,0.98,0
0.98,1,0
1,0,1
0,0.04,0
0.01,0.07,0
0.04,0.11,0
0.07,0.15,0
0.11,0.19,0
0.15,0.22,0
0.19,0.23,0
0.22,0.26,0
0.23,0.3,0
0.26,0.32,0
0.3,0.38,0
0.32,0.44,0
0.38,0.46,1
0.44,0.49,1
0.46,0.52,0
0.49,0.55,0
0.52,0.56,0
0.55,0.62,0
0.56,0.64,0
0.62,0.67,0
0.64,0.71,0
0.67,0.73,0
0.71,0.77,0
0.73,0.8,0
0.77,0.82,0
0.8,0.87,0
0.82,0.93,0
0.87,0.95,0
0.93,0.98,0
0.95,1,0
0.98,0,1
1,0.01,1
0,0.07,0
0.01,0.11,0
0.04,0.15,0
0.07,0.19,0
0.11,0.22,0
0.15,0.23,0
0.19,0.26,0
0.22,0.3,0
0.23,0.32,0
0.26,0.38,0
0.3,0.44,0
0.32,0.46,1
0.38,0.49,1
0.44,0.52,1
0.46,0.55,0
0.49,0.56,0
0.52,0.62,0
0.55,0.64,0
0.56,0.67,0
0.62,0.71,0
0.64,0.73,0
0.67,0.77,0
0.71,0.8,0
0.73,0.82,0
0.77,0.87,0
0.8,0.93,0
0.82,0.95,0
0.87,0.98,0
0.93,1,0
0.95,0,1
0.98,0.01,1
1,0.04,1
0,0.11,0
0.01,0.15,0
0.04,0.19,0
0.07,0.22,0
0.11,0.23,0
0.15,0.26,0
0.19,0.3,0
0.22,0.32,0
0.23,0.38,0
0.26,0.44,0
0.3,0.46,1
0.32,0.49,1
0.38,0.52,1
0.44,0.55,1
0.46,0.56,0
0.49,0.62,0
0.52,0.64,0
0.55,0.67,0
0.56,0.71,0
0.62,0.73,0
0.64,0.77,0
0.67,0.8,0
0.71,0.82,0
0.73,0.87,0
0.77,0.93,0
0.8,0.95,0
0.82,0.98,0
0.87,1,0
0.93,0,1
0.95,0.01,1
0.98,0.04,1
1,0.07,1
0,0.15,0
0.01,0.19,0
0.04,0.22,0
0.07,0.23,0
0.11,0.26,0
0.15,0.3,0
0.19,0.32,0
0.22,0.38,0
0.23,0.44,0
0.26,0.46,1
0.3,0.49,1
0.32,0.52,1
0.38,0.55,1
0.44,0.56,1
0.46,0.62,0
0.49,0.64,0
0.52,0.67,0
0.55,0.71,0
0.56,0.73,0
0.62,0.77,0
0.64,0.8,0
0.67,0.82,0
0.71,0.87,0
0.73,0.93,0
0.77,0.95,0
0.8,0.98,0
0.82,1,0
0.87,0,1
0.93,0.01,1
0.95,0.04,1
0.98,0.07,1
1,0.11,1
0,0.19,0
0.01,0.22,0
0.04,0.23,0
0.07,0.26,0
0.11,0.3,0
0.15,0.32,0
0.19,0.38,0
0.22,0.44,0
0.23,0.46,1
0.26,0.49,1
0.3,0.52,1
0.32,0.55,1
0.38,0.56,1
0.44,0.62,1
0.46,0.64,0
0.49,0.67,0
0.52,0.71,0
0.55,0.73,0
0.56,0.77,0
0.62,0.8,0
0.64,0.82,0
0.67,0.87,0
0.71,0.93,0
0.73,0.95,0
0.77,0.98,0
0.8,1,0
0.82,0,1
0.87,0.01,1
0.93,0.04,1
0.95,0.07,1
0.98,0.11,1
1,0.15,1
0,0.22,0
0.01,0.23,0
0.04,0.26,0
0.07,0.3,0
0.11,0.32,0
0.15,0.38,0
0.19,0.44,0
0.22,0.46,1
0.23,0.49,1
0.26,0.52,1
0.3,0.55,1
0.32,0.56,1
0.38,0.62,1
0.44,0.64,1
0.46,0.67,0
0.49,0.71,0
0.52,0.73,0
0.55,0.77,0
0.56,0.8,0
0.62,0.82,0
0.64,0.87,0
0.67,0.93,0
0.71,0.95,0
0.73,0.98,0
0.77,1,0
0.8,0,1
0.82,0.01,1
0.87,0.04,1
0.93,0.07,1
0.95,0.11,1
0.98,0.15,1
1,0.19,1
0,0.23,0
0.01,0.26,0
0.04,0.3,0
0.07,0.32,0
0.11,0.38,0
0.15,0.44,0
0.19,0.46,1
0.22,0.49,1
0.23,0.52,1
0.26,0.55,1
0.3,0.56,1
0.32,0.62,1
0.38,0.64,1
0.44,0.67,1
0.46,0.71,1
0.49,0.73,0
0.52,0.77,0
0.55,0.8,0
0.56,0.82,0
0.62,0.87,0
0.64,0.93,0
0.67,0.95,0
0.71,0.98,0
0.73,1,0
0.77,0,1
0.8,0.01,1
0.82,0.04,1
0.87,0.07,1
0.93,0.11,1
0.95,0.15,1
0.98,0.19,1
1,0.22,1
0,0.26,0
0.01,0.3,0
0.04,0.32,0
0.07,0.38,0
0.11,0.44,0
0.15,0.46,1
0.19,0.49,1
0.22,0.52,1
0.23,0.55,1
0.26,0.56,1
0.3,0.62,1
0.32,0.64,1
0.38,0.67,1
0.44,0.71,1
0.46,0.73,1
0.49,0.77,0
0.52,0.8,0
0.55,0.82,0
0.56,0.87,0
0.62,0.93,0
0.64,0.95,0
0.67,0.98,0
0.71,1,0
0.73,0,1
0.77,0.01,1
0.8,0.04,1
0.82,0.07,1
0.87,0.11,1
0.93,0.15,1
0.95,0.19,1
0.98,0.22,1
1,0.23,1
0,0.3,0
0.01,0.32,0
0.04,0.38,0
0.07,0.44,0
0.11,0.46,1
0.15,0.49,1
0.19,0.52,1
0.22,0.55,1
0.23,0.56,1
0.26,0.62,1
0.3,0.64,1
0.32,0.67,1
0.38,0.71,1
0.44,0.73,1
0.46,0.77,0
0.49,0.8,0
0.52,0.82,0
0.55,0.87,0
0.56,0.93,0
0.62,0.95,0
0.64,0.98,0
0.67,1,0
0.71,0,1
0.73,0.01,1
0.77,0.04,1
0.8,0.07,1
0.82,0.11,1
0.87,0.15,1
0.93,0.19,1
0.95,0.22,1
0.98,0.23,1
1,0.26,1
0,0.32,0
0.01,0.38,0
0.04,0.44,0
0.07,0.46,1
0.11,0.49,1
0.15,0.52,1
0.19,0.55,1
0.22,0.56,1
0.23,0.62,1
0.26,0.64,1
0.3,0.67,1
0.32,0.71,1
0.38,0.73,1
0.44,0.77,1
0.46,0.8,0
0.49,0.82,0
0.52,0.87,0
0.55,0.93,0
0.56,0.95,0
0.62,0.98,0
0.64,1,0
0.67,0,1
0.71,0.01,1
0.73,0.04,1
0.77,0.07,1
0.8,0.11,1
0.82,0.15,1
0.87,0.19,1
0.93,0.22,1
0.95,0.23,1
0.98,0.26,1
1,0.3,1
0,0.38,0
0.01,0.44,0
0.04,0.46,1
0.07,0.49,1
0.11,0.52,1
0.15,0.55,1
0.19,0.56,1
0.22,0.62,1
0.23,0.64,1
0.26,0.67,1
0.3,0.71,1
0.32,0.73,1
0.38,0.77,1
0.44,0.8,1
0.46,0.82,0
0.49,0.87,0
0.52,0.93,0
0.55,0.95,0
0.56,0.98,0
0.62,1,0
0.64,0,1
0.67,0.01,1
0.71,0.04,1
0.73,0.07,1
0.77,0.11,1
0.8,0.15,1
0.82,0.19,1
0.87,0.22,1
0.93,0.23,1
0.95,0.26,1
0.98,0.3,1
1,0.32,1
0,0.44,0
0.01,0.46,1
0.04,0.49,1
0.07,0.52,1
